URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
M0_81,49,12,UTF-8,nginx/1.12.0,4877,US,VERMONT,22/03/2009 0:00,22/03/2017 0:00,8,0,2,811,10,11,6062,961,10,2.0,1
B0_609,49,9,utf-8,Apache,44393,CA,ON,9/12/2003 0:00,22/10/2016 0:00,8,0,5,516,8,2,124,516,8,0.0,0
M0_89,24,9,iso-8859-1,Apache,319,IN,Tamil Nadu,None,None,7,0,2,720,9,10,1269,868,9,2.0,1
B0_2318,88,17,UTF-8,cloudflare-nginx,NA,CA,ON,1/08/2007 0:00,3/03/2016 0:00,4,3,2,432,4,6,372,432,4,0.0,0
M0_159,34,11,UTF-8,nginx,649,None,None,None,None,15,1,5,1632,21,18,2661,2068,21,6.0,1
B0_1171,62,13,ISO-8859-1,Apache,6567,US,FL,24/04/1999 0:00,23/02/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_385,35,8,UTF-8,Server,NA,US,WA,5/01/1996 0:00,5/05/2016 0:00,37,0,3,3263,43,42,52720,3697,43,6.0,0
B0_2187,66,10,utf-8,cloudflare-nginx,NA,None,None,24/10/2000 0:00,6/01/2016 0:00,6,2,4,540,6,7,438,540,6,0.0,0
M0_155,42,11,UTF-8,nginx,673,None,None,None,None,18,1,5,2185,24,21,2969,2637,24,6.0,1
B0_1286,47,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,UT,5/02/1999 0:00,16/06/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_760,34,7,ISO-8859-1,nginx,1501,US,New York,22/12/1999 0:00,24/05/2012 0:00,23,3,11,2042,29,29,7939,2520,29,6.0,0
M4_64,83,17,utf-8,Microsoft-IIS/6.0,NA,US,California,18/06/2003 0:00,14/06/2016 0:00,1,1,1,90,1,5,416,90,1,0.0,1
M0_133,36,9,UTF-8,nginx,646,None,None,None,None,11,1,4,1266,15,12,966,1554,15,4.0,1
B0_410,50,10,utf-8,nginx,NA,US,NY,4/10/1996 0:00,17/01/2017 0:00,80,3,5,8291,88,93,135375,8889,88,8.0,0
M0_165,35,8,ISO-8859-1,cloudflare-nginx,NA,ru,Krasnoyarsk,22/08/2010 0:00,28/04/2017 0:00,15,1,2,1850,21,23,2970,2302,21,6.0,1
B0_1094,80,12,UTF-8,Apache,471,US,CA,23/07/2004 0:00,4/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_552,40,8,ISO-8859-1,Apache,15240,None,None,12/02/2002 0:00,16/10/2014 0:00,8,4,1,1325,12,12,2833,1637,12,4.0,0
B0_464,38,10,utf-8,Microsoft-IIS/8.0,4929,NO,None,29/01/2004 16:01,29/12/2016 14:11,16,0,5,1927,20,20,8052,2219,20,4.0,0
B0_134,78,16,UTF-8,cloudflare-nginx,NA,US,LA,20/10/2003 0:00,15/01/2015 0:00,11,1,3,1335,17,17,2109,1835,17,6.0,0
B0_701,36,7,UTF-8,Apache,11418,US,AZ,28/12/1999 0:00,28/12/2014 0:00,17,0,4,2319,21,21,14373,2615,21,4.0,0
B0_2291,39,7,iso-8859-1,Apache,340,CA,ON,26/11/1996 0:00,2/11/2016 0:00,11,5,5,894,11,10,634,894,11,0.0,0
B0_386,37,9,iso-8859-1,Apache,NA,None,None,None,None,31,7,12,2531,37,35,14050,3005,37,6.0,0
B0_535,57,10,iso-8859-1,Apache/2,345,US,CA,25/02/1999 0:00,18/01/2017 0:00,31,0,5,2335,33,37,35231,2493,33,2.0,0
B0_1306,36,6,ISO-8859-1,nginx/1.12.0,1108,US,CA,5/10/2006 0:00,4/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_589,87,16,UTF-8,nginx,30824,US,CA,5/03/1994 0:00,2/02/2017 0:00,17,9,2,3124,23,21,9563,3564,23,6.0,0
B0_1113,61,10,us-ascii,Microsoft-IIS/7.5,324,US,AZ,9/04/2008 0:00,10/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_70,60,12,UTF-8,Apache,NA,None,None,16/05/2001 0:00,17/03/2016 0:00,113,0,3,7746,117,134,229040,8062,117,4.0,0
M0_15,26,8,utf-8,nginx,NA,None,None,9/03/2000 17:50,None,9,1,2,878,11,12,2242,1018,11,2.0,1
B0_2191,57,12,utf-8,Apache/2.2.31 (Amazon),6828,None,None,28/08/2007 0:00,29/04/2013 0:00,13,4,7,1074,13,5,306,1074,13,0.0,0
B0_915,39,9,ISO-8859-1,nginx/1.12.0,NA,CA,SK,19/10/2005 0:00,18/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1013,20,6,utf-8,Apache,NA,US,Kansas,14/09/2007 0:00,9/09/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_550,44,9,ISO-8859-1,nginx/1.13.0,NA,FR,None,5/10/2005 0:00,21/05/2015 0:00,6,0,1,672,8,8,1381,834,8,2.0,0
B0_1146,55,10,UTF-8,nginx,12275,US,MA,15/09/1997 0:00,15/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_143,40,13,UTF-8,nginx,643,None,None,None,None,11,1,4,1266,15,12,960,1548,15,4.0,1
B0_2152,26,7,utf-8,Apache/2.2.0 (Fedora),NA,None,None,11/10/2000 0:00,12/12/2016 0:00,11,9,7,882,11,9,562,882,11,0.0,0
M0_56,61,12,ISO-8859-1,Apache,526,DE,None,10/09/2003 0:00,11/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
M4_27,89,18,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
B0_577,25,6,UTF-8,None,NA,TH,bangkok,30/04/2010 14:12,12/03/2017 1:47,18,7,9,1586,22,17,1735,1898,22,4.0,0
B0_1076,52,10,utf-8,nginx/0.8.35,17302,US,CA,15/10/2005 0:00,13/09/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_164,61,12,ISO-8859-1,Apache,NA,US,CA,9/08/1996 0:00,4/04/2017 0:00,22,5,10,1673,24,22,2525,1837,24,2.0,0
B0_872,109,18,utf-8,nginx/1.7.12,33481,US,FL,1/02/1994 0:00,28/04/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_927,38,9,us-ascii,cloudflare-nginx,NA,US,Arizona,10/06/2005 0:00,4/06/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M4_61,173,34,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,1,1,1,90,1,5,416,90,1,0.0,1
B0_1304,52,10,ISO-8859-1,squid/3.3.8,3529,US,CA,2/06/1994 0:00,6/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_218,32,7,UTF-8,Apache,NA,US,Illinois,11/02/1997 0:00,10/09/2012 0:00,94,0,4,11902,102,121,173484,12492,102,8.0,0
B0_2290,36,8,ISO-8859-1,Apache/2.2.32,NA,US,PA,1/05/2002 0:00,1/09/2012 0:00,5,3,2,474,5,5,306,474,5,0.0,0
B0_710,39,9,ISO-8859-1,nginx/1.11.10,121211,US,GA,22/09/1993 0:00,15/02/2017 0:00,35,0,2,3234,38,38,129083,3384,38,2.0,0
B0_791,57,11,iso-8859-1,Apache,241,US,UT,16/05/1995 0:00,21/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_649,81,11,UTF-8,cloudflare-nginx,NA,US,WA,7/04/2011 0:00,11/03/2017 0:00,23,2,6,2362,31,23,5472,3008,31,8.0,0
B0_367,70,12,utf-8,Microsoft-IIS/7.5,41417,US,MO,None,None,7,4,3,752,9,12,892,922,9,2.0,0
B0_2275,40,9,iso-8859-1,Apache,230,US,California,4/01/1995 0:00,4/01/2017 0:00,5,3,3,486,5,4,244,486,5,0.0,0
B0_257,116,18,us-ascii,Microsoft-HTTPAPI/2.0,324,CA,ON,13/02/1999 0:00,10/05/2016 0:00,24,0,4,2314,28,38,43123,2616,28,4.0,0
B0_782,43,10,UTF-8,Resin/3.1.8,NA,US,FL,20/04/1995 4:00,7/03/2013 19:26,0,0,0,0,0,0,0,0,0,0.0,0
M0_144,39,11,UTF-8,nginx,640,None,None,None,None,11,1,4,1266,15,12,960,1548,15,4.0,1
M4_63,93,19,utf-8,Microsoft-IIS/6.0,NA,US,California,18/06/2003 0:00,14/06/2016 0:00,1,1,1,90,1,4,354,90,1,0.0,1
B0_2181,87,18,UTF-8,nginx,NA,US,FL,5/02/2009 0:00,16/01/2017 0:00,8,5,5,660,8,10,661,660,8,0.0,0
B0_852,72,14,UTF-8,nginx,NA,PA,PANAMA,11/11/2007 0:00,18/12/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1105,64,11,UTF-8,nginx/1.6.3,NA,US,WA,1/08/2007 0:00,4/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_104,42,7,utf-8,Apache/2.4.6,NA,US,FL,24/05/2004 0:00,16/03/2017 0:00,51,11,7,4601,57,55,45279,5103,57,6.0,0
B0_691,45,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,UT,5/02/1999 0:00,16/06/2014 0:00,28,10,9,2683,36,33,11690,3307,36,8.0,0
B0_747,46,9,UTF-8,Apache/2.2.15 (CentOS),10303,AU,New South Wales,8/01/2009 10:56,9/01/2017 10:11,197,0,3,13622,200,255,486769,13794,200,2.0,0
B0_323,64,11,ISO-8859-1,Apache,9498,GB,MIDDLESEX,27/04/2007 0:00,20/04/2017 0:00,10,1,3,1256,14,16,1909,1580,14,4.0,0
B0_356,39,9,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,63,54,5,6884,73,70,57005,7630,73,10.0,0
B0_454,74,13,utf-8,None,NA,US,TX,31/01/1996 0:00,16/08/2016 0:00,21,1,5,2873,25,23,9017,3177,25,4.0,0
B0_1408,29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),238,CA,QC,7/03/1996 0:00,9/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_71,21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,UK,None,16/07/2000 0:00,4/07/2015 0:00,7,0,1,717,11,10,1960,1011,11,4.0,1
B0_1252,39,8,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_113,105,20,ISO-8859-1,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,11230,None,None,None,None,22,0,3,2790,26,26,23294,3104,26,4.0,1
B0_471,39,9,ISO-8859-1,None,1819,US,CA,2/11/2002 0:00,2/02/2017 0:00,38,33,1,6419,48,47,29141,7171,48,10.0,0
B0_564,50,10,ISO-8859-1,None,413,None,None,None,None,10,0,4,926,14,13,1788,1266,14,4.0,0
B0_767,90,17,utf-8,ebay server,NA,US,CA,4/08/1995 0:00,26/01/2017 0:00,7,0,5,804,8,2,124,804,8,0.0,0
B0_730,45,9,iso-8859-1,nginx,NA,US,WA,20/07/1998 4:00,21/02/2017 3:57,8,0,2,805,12,11,1087,1099,12,4.0,0
M4_46,135,26,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,3,186,0,0,0.0,1
B0_984,56,11,ISO-8859-1,nginx/1.12.0,NA,US,Arizona,28/09/2005 0:00,2/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_833,44,8,us-ascii,Microsoft-HTTPAPI/2.0,324,CA,ON,17/03/2000 0:00,17/01/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2077,80,17,ISO-8859-1,nginx/1.2.1,8619,BY,--,17/05/2004 0:00,2/03/2017 0:00,22,18,3,3156,22,15,4966,3156,22,0.0,0
B0_2243,59,11,UTF-8,Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,NA,None,None,19/02/2002 0:00,25/04/2016 0:00,10,7,5,768,10,13,890,768,10,0.0,0
B0_1238,45,9,ISO-8859-1,cloudflare-nginx,NA,US,Arizona,9/08/2009 0:00,17/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_94,28,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,21/10/2004 0:00,14/10/2014 0:00,5,0,2,556,9,9,1154,860,9,4.0,1
B0_722,63,10,us-ascii,Microsoft-HTTPAPI/2.0,324,US,PA,5/06/2003 0:00,26/11/2014 0:00,35,19,11,3472,41,33,24847,3944,41,6.0,0
B0_2127,25,6,us-ascii,Microsoft-IIS/7.5,324,US,Massachusetts,25/02/2008 0:00,26/02/2017 0:00,5,2,4,474,5,4,250,474,5,0.0,0
M4_62,156,31,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,1,1,1,90,1,5,416,90,1,0.0,1
B0_2020,48,8,ISO-8859-1,AkamaiGHost,299,US,CA,10/08/1998 0:00,10/07/2012 0:00,7,7,3,618,7,10,624,618,7,0.0,0
B0_1374,26,6,iso-8859-1,Apache,199,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1404,38,9,UTF-8,GSE,3916,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_639,30,6,ISO-8859-1,None,NA,US,CA,29/03/1997 0:00,29/11/2016 0:00,76,47,12,9007,88,44,23985,9891,88,12.0,0
B0_447,60,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,PA,5/06/2003 0:00,26/11/2014 0:00,5,0,1,622,7,7,9159,812,7,2.0,0
B0_2190,55,12,UTF-8,mw2176.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,13,4,7,1074,13,5,306,1074,13,0.0,0
B0_2322,61,11,ISO-8859-1,Apache,NA,US,DE,10/08/1999 0:00,3/03/2017 0:00,7,3,3,582,7,5,306,582,7,0.0,0
B0_1172,72,16,utf-8,Apache/2.2.22 (Debian) mod_python/3.3.1 Python/2.7.3 mod_ssl/2.2.22 OpenSSL/1.0.1t,NA,US,NY,23/03/1995 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2028,70,15,UTF-8,nginx,NA,US,CA,3/03/2000 0:00,12/01/2017 0:00,6,4,4,552,6,9,562,552,6,0.0,0
B0_1167,37,7,ISO-8859-1,Apache/2.2.13 (Unix) mod_ssl/2.2.13 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 PHP/5.2.10,6062,US,California,2/07/2010 0:00,25/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_698,31,8,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,7/08/1996 0:00,14/05/2015 0:00,103,0,3,7073,105,113,179439,7217,105,2.0,0
B0_489,72,13,utf-8,Apache,1832,None,None,1/05/2009 0:00,2/05/2016 0:00,9,0,3,1165,15,16,1673,1673,15,6.0,0
B0_777,37,8,utf-8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.4.35,6944,US,Arizona,14/02/2000 0:00,14/02/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_638,28,8,UTF-8,Apache,NA,US,Arizona,24/04/2009 0:00,18/03/2017 0:00,6,0,3,632,8,8,593,776,8,2.0,0
B0_1115,52,10,ISO-8859-1,nginx,1516,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1207,34,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,NA,US,California,21/02/1995 0:00,19/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_160,40,11,UTF-8,nginx,667,None,None,None,None,19,1,5,2243,25,22,3021,2691,25,6.0,1
B0_755,154,21,UTF-8,None,11104,US,UT,29/07/1998 4:00,17/03/2016 4:34,33,10,8,3764,41,23,7356,4412,41,8.0,0
M0_129,36,11,UTF-8,nginx,655,None,None,None,None,7,1,5,466,11,10,822,760,11,4.0,1
B0_467,45,10,ISO-8859-1,None,12368,US,CA,9/01/1998 0:00,4/01/2017 0:00,32,5,9,2595,36,34,15941,2881,36,4.0,0
B0_787,51,11,iso-8859-1,Apache,239,US,UT,16/05/1995 0:00,21/10/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2138,38,7,UTF-8,Apache,1172,US,NY,21/09/2001 0:00,2/03/2017 0:00,4,3,2,432,4,4,244,432,4,0.0,0
M0_153,43,11,UTF-8,nginx,673,None,None,None,None,18,1,5,2188,24,22,3031,2640,24,6.0,1
M1_2,45,10,ISO-8859-1,Apache,NA,None,None,9/10/2016 17:08,None,4,0,2,531,6,6,494,681,6,2.0,1
B0_439,46,8,UTF-8,nginx,NA,US,CA,26/05/2006 0:00,8/09/2016 0:00,15,8,6,2218,19,18,5203,2546,19,4.0,0
B0_2116,37,7,ISO-8859-1,ATS/5.3.0,7891,US,MA,22/02/2001 0:00,24/01/2017 0:00,6,5,2,540,6,8,535,540,6,0.0,0
B0_2273,90,17,iso-8859-1,Apache,392,US,New York,17/03/2009 0:00,7/04/2016 0:00,7,3,3,606,7,4,244,606,7,0.0,0
B0_322,34,8,utf-8,Apache/2.2.31 (Amazon),7255,None,None,29/07/2004 0:00,3/01/2016 0:00,17,1,2,1661,23,26,10015,2167,23,6.0,0
B0_2143,37,8,ISO-8859-1,None,NA,US,CA,29/03/1997 0:00,29/11/2016 0:00,4,2,2,408,4,5,328,408,4,0.0,0
M4_68,94,19,utf-8,Microsoft-IIS/6.0,NA,US,California,18/06/2003 0:00,14/06/2016 0:00,0,0,0,0,0,3,186,0,0,0.0,1
B0_806,83,17,UTF-8,Apache-Coyote/1.1,46886,None,None,16/09/2004 0:00,28/03/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1216,47,9,ISO-8859-1,None,NA,CA,ON,31/12/1999 0:00,17/12/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M4_8,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,3,186,0,0,0.0,1
B0_519,81,13,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NY,25/02/2005 0:00,27/12/2015 0:00,16,1,2,2074,22,27,10646,2540,22,6.0,0
B0_2175,89,14,utf-8,Microsoft-IIS/8.5,246324,None,None,None,None,7,6,2,786,7,7,432,786,7,0.0,0
B0_665,54,10,UTF-8,mw2230.codfw.wmnet,20518,US,CA,13/01/2001 0:12,12/12/2015 10:16,43,38,5,5591,51,56,46553,6231,51,8.0,0
B0_1177,43,9,ISO-8859-1,nginx,NA,US,WA,26/04/2001 0:00,15/12/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2252,114,19,UTF-8,cloudflare-nginx,NA,CA,bc,28/02/2002 0:00,29/11/2014 0:00,15,4,7,1062,15,11,702,1062,15,0.0,0
B0_687,46,10,UTF-8,Apache,NA,None,None,None,None,15,5,11,1244,17,23,1616,1384,17,2.0,0
B0_1134,99,14,ISO-8859-1,Apache/2.4.7 (Ubuntu),2743,US,IL,10/01/2000 0:00,8/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_97,21,7,iso-8859-1,nginx,686,RU,Novosibirskaya obl.,25/05/2013 0:00,23/05/2016 0:00,6,0,2,603,8,9,1580,745,8,2.0,1
B0_282,24,8,iso-8859-1,Apache/2.2.22,224,US,MA,26/02/2009 0:00,6/01/2017 0:00,19,2,4,2131,23,23,9471,2441,23,4.0,0
B0_1246,70,14,ISO-8859-1,Apache/2.2.15 (CentOS) DAV/2 mod_ssl/2.2.15 OpenSSL/1.0.1e-fips PHP/5.3.3,8742,US,IL,12/12/1990 0:00,8/06/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_85,39,8,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,66,56,7,8252,78,77,61807,9152,78,12.0,0
B0_1422,42,9,ISO-8859-1,nginx,1505,US,Ohio,8/01/2004 0:00,3/01/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_851,109,20,ISO-8859-1,Varnish,9,US,DC,16/07/2007 0:00,12/07/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_62,160,29,UTF-8,None,36829,US,CA,14/08/1997 0:00,14/06/2016 0:00,19,3,7,2402,25,22,4491,2900,25,6.0,0
B0_1204,37,9,ISO-8859-1,Apache,1002,AT,Austria,1/06/2004 0:00,2/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_85,66,14,UTF-8,Apache,58,US,MA,9/10/2014 0:00,10/10/2016 0:00,15,1,7,1863,19,18,7303,2175,19,4.0,1
B0_412,144,21,utf-8,Apache,14060,None,None,27/09/2000 0:00,26/07/2016 0:00,21,0,4,2854,25,17,3490,3146,25,4.0,0
M4_10,100,20,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,3,186,0,0,0.0,1
B0_1039,55,10,ISO-8859-1,Apache,14953,US,NY,30/12/2002 0:00,9/04/2014 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2081,57,11,utf-8,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 Communique/4.2.0,448,None,None,None,None,2,2,1,356,2,4,246,356,2,0.0,0
B0_1353,27,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,22/03/2017 0:00,23/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2022,88,15,iso-8859-1,None,411,US,WV,23/04/1996 0:00,26/03/2017 0:00,12,4,9,936,12,14,904,936,12,0.0,0
B0_99,78,16,ISO-8859-1,MI,2743,US,CA,24/02/1996 0:00,18/01/2017 0:00,23,5,11,2106,27,31,6415,2410,27,4.0,0
B0_892,87,16,UTF-8,GSE,48831,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_128,32,9,utf-8,KHL,420762,None,None,10/05/2006 20:00,None,17,5,8,1314,19,26,1881,1452,19,2.0,0
B0_517,57,9,UTF-8,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/7.0.14,6588,JP,Osaka,19/07/2016 0:00,19/07/2016 0:00,19,8,10,1764,23,24,2364,2120,23,4.0,0
B0_65,31,6,us-ascii,Microsoft-HTTPAPI/2.0,324,None,None,None,None,18,14,3,2201,22,23,7756,2543,22,4.0,0
B0_2017,89,12,utf-8,None,30193,US,GA,9/08/1994 0:00,23/06/2016 0:00,25,13,8,1818,25,7,438,1818,25,0.0,0
M4_51,126,23,UTF-8,Apache,NA,ES,Barcelona,17/09/2008 0:00,2/09/2016 0:00,0,0,0,0,0,2,124,0,0,0.0,1
B0_510,42,9,UTF-8,Apache/2.2.22 (Debian),10561,JP,6110021,13/02/2017 0:00,28/02/2017 0:00,15,4,4,1540,19,21,25529,1844,19,4.0,0
B0_2045,54,12,UTF-8,mw2104.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,11,7,2,1166,11,7,426,1166,11,0.0,0
B0_714,56,12,UTF-8,mw2228.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,8,3,3,847,16,18,1998,1435,16,8.0,0
B0_436,44,9,utf-8,nginx + Phusion Passenger,NA,US,FL,3/06/2000 0:00,5/05/2016 0:00,29,16,7,2326,33,25,3623,2626,33,4.0,0
B0_353,40,9,utf-8,ATS,622,US,CA,18/01/1995 0:00,26/08/2015 0:00,8,1,3,1088,14,13,2036,1524,14,6.0,0
B0_328,42,8,utf-8,None,NA,US,CA,22/02/1996 0:00,16/01/2015 0:00,28,20,2,2780,32,36,27390,3064,32,4.0,0
B0_616,44,8,utf-8,nginx,10198,US,New York,28/06/2006 0:00,1/02/2013 0:00,17,12,4,2401,23,23,19291,2827,23,6.0,0
B0_1388,30,6,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199,US,MA,8/02/2013 0:00,15/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_179,26,6,None,tsa_c,0,US,CA,21/01/2000 0:00,8/11/2016 0:00,43,39,3,6325,53,50,32025,7063,53,10.0,0
B0_644,39,9,utf-8,YouTubeFrontEnd,NA,US,CA,15/02/2005 0:00,14/01/2017 0:00,62,50,5,6269,70,65,54988,6861,70,8.0,0
B0_2274,38,8,UTF-8,Server,NA,US,NJ,5/12/1996 0:00,30/11/2016 0:00,3,2,2,330,3,5,306,330,3,0.0,0
B0_688,34,6,ISO-8859-1,Apache,NA,US,CA,22/04/1997 0:00,22/02/2017 0:00,24,20,2,4372,31,33,13095,4808,31,6.0,0
M1_3,42,8,ISO-8859-1,Apache,895,US,Arizona,5/03/2013 20:51,5/05/2013 3:46,15,0,6,1980,19,17,5911,2334,19,4.0,1
B0_558,63,12,UTF-8,nginx,NA,US,Illinois,5/12/1996 5:00,31/05/2013 23:28,14,3,4,2108,18,22,3406,2388,18,4.0,0
B0_1329,38,9,ISO-8859-1,Apache,NA,US,CA,25/04/2000 0:00,4/08/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_600,59,13,us-ascii,Microsoft-IIS/7.5,324,US,Missouri,23/05/1997 0:00,15/04/2015 0:00,10,0,3,1170,16,14,1324,1584,16,6.0,0
B0_958,86,16,UTF-8,Apache/2.2.15 (CentOS),15108,US,CA,15/04/2002 0:00,13/04/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_170,29,6,ISO-8859-1,Apache,26856,None,None,4/04/2003 0:00,5/04/2017 0:00,26,6,5,2519,30,30,22379,2851,30,4.0,0
B0_493,34,6,utf-8,None,NA,US,CA,22/02/1996 0:00,16/01/2015 0:00,34,25,9,3787,42,42,33677,4365,42,8.0,0
B0_1179,56,12,ISO-8859-1,None,1819,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1251,104,17,ISO-8859-1,Varnish,9,US,DC,7/11/2003 0:00,3/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_48,54,11,UTF-8,Apache,26,US,FL,7/11/1996 0:00,25/08/2015 0:00,20,11,6,3025,26,25,9200,3479,26,6.0,0
B0_660,26,6,utf-8,cloudflare-nginx,NA,US,Washington,23/10/1999 0:00,13/08/2016 0:00,7,0,2,984,11,12,1650,1300,11,4.0,0
B0_880,52,10,ISO-8859-1,Apache,5443,CA,Quebec,14/10/2007 12:24,1/09/2016 14:20,0,0,0,0,0,0,0,0,0,0.0,0
B0_465,23,6,UTF-8,cloudflare-nginx,NA,US,Oregon,4/02/1997 0:00,8/11/2014 0:00,10,0,5,1186,14,15,1900,1476,14,4.0,0
B0_2280,49,9,ISO-8859-1,Play,2119,US,CA,2/11/2002 0:00,2/02/2017 0:00,2,2,1,276,2,3,184,276,2,0.0,0
B0_239,44,9,UTF-8,mw2107.codfw.wmnet,NA,US,CA,13/01/2001 0:12,12/12/2015 10:16,40,35,2,5987,48,48,38230,6595,48,8.0,0
